"Позиция";"Обозначение";"Корпус";"Количество";"Значение";"Поставщик и справка";
1;"REF**,REF**,REF**,REF**";"MountingHole_2.2mm_M2";4;"MountingHole_2.2mm_M2";;;
2;"D1,D2,D3";"LED_D5.0mm";3;"LED";;;
3;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
4;"R1,R2,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";3;"510";;;
